Gene_Id	Gene_desc	Box
Tb10.v4.0078	hypothetical protein	<input id="checkbox_Tb10.v4.0078" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb10.v4.0078">
Tb927.8.4730	amino acid transporter  putative	<input id="checkbox_Tb927.8.4730" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.4730">
Tb10.v4.0183	variant surface glycoprotein (VSG  pseudogene)  putative	<input id="checkbox_Tb10.v4.0183" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb10.v4.0183">
Tb927.8.4470	chaperone protein DnaJ  putative	<input id="checkbox_Tb927.8.4470" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.4470">
Tb927.7.5460	exosome-associated protein 3	<input id="checkbox_Tb927.7.5460" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.5460">
Tb927.4.580	hypothetical protein  conserved	<input id="checkbox_Tb927.4.580" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.4.580">
Tb927.5.2260	conserved protein	<input id="checkbox_Tb927.5.2260" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.5.2260">
Tb927.4.740	Rgp1  putative	<input id="checkbox_Tb927.4.740" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.4.740">
Tb927.9.3540	hypothetical protein  conserved	<input id="checkbox_Tb927.9.3540" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.3540">
Tb927.8.7110	Serine/threonine-protein kinase NEK12.1  putative	<input id="checkbox_Tb927.8.7110" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.7110">
Tb927.11.5100	hypothetical protein  conserved	<input id="checkbox_Tb927.11.5100" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.5100">
Tb927.9.12440	hypothetical protein  conserved	<input id="checkbox_Tb927.9.12440" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.12440">
Tb927.8.7350	trans-sialidase  putative	<input id="checkbox_Tb927.8.7350" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.7350">
Tb927.11.3770	Dpy-30 motif containing protein  putative	<input id="checkbox_Tb927.11.3770" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.3770">
Tb927.11.1190	Ring finger domain/PHD-finger  putative	<input id="checkbox_Tb927.11.1190" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.1190">
Tb927.8.5560	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit  putative	<input id="checkbox_Tb927.8.5560" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.5560">
Tb11.v5.0302	hypothetical protein  conserved	<input id="checkbox_Tb11.v5.0302" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0302">
Tb927.11.10610	hypothetical protein  conserved	<input id="checkbox_Tb927.11.10610" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.10610">
Tb927.8.6980	Flagellum attachment zone protein 14	<input id="checkbox_Tb927.8.6980" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.6980">
Tb927.4.1040	hypothetical protein  conserved	<input id="checkbox_Tb927.4.1040" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.4.1040">
Tb927.10.7330	40S ribosomal protein S24E  putative	<input id="checkbox_Tb927.10.7330" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.7330">
Tb927.11.9990	glycosyl transferase-like protein	<input id="checkbox_Tb927.11.9990" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.9990">
Tb927.7.7430	ATP synthase F1  alpha subunit	<input id="checkbox_Tb927.7.7430" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.7430">
Tb927.11.7440	hypothetical protein  conserved	<input id="checkbox_Tb927.11.7440" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.7440">
Tb927.1.820	kelch domain-containing protein	<input id="checkbox_Tb927.1.820" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.1.820">
Tb927.11.3130	glycosomal transporter (GAT2)	<input id="checkbox_Tb927.11.3130" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.3130">
Tb927.11.18990	variant surface glycoprotein (VSG  pseudogene)  putative	<input id="checkbox_Tb927.11.18990" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.18990">
Tb927.8.2640	ubiquitin-activating enzyme E1  putative	<input id="checkbox_Tb927.8.2640" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.2640">
Tb927.4.5200	Nucleoporin NUP62	<input id="checkbox_Tb927.4.5200" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.4.5200">
Tb927.9.12490	hypothetical protein  conserved	<input id="checkbox_Tb927.9.12490" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.12490">
Tb11.1400.1	hypothetical protein  conserved (pseudogene)	<input id="checkbox_Tb11.1400.1" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.1400.1">
Tb927.6.5490	expression site-associated gene 3 (ESAG3)  degenerate	<input id="checkbox_Tb927.6.5490" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.6.5490">
Tb927.10.11400	WD domain  G-beta repeat  putative	<input id="checkbox_Tb927.10.11400" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.11400">
Tb927.4.5210	hypothetical protein  conserved	<input id="checkbox_Tb927.4.5210" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.4.5210">
Tb927.1.3130	AGC/RSK family serine/threonine kinase  putative	<input id="checkbox_Tb927.1.3130" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.1.3130">
Tb927.3.510	hypothetical protein  conserved	<input id="checkbox_Tb927.3.510" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.3.510">
Tb09.v4.0173	variant surface glycoprotein (VSG  pseudogene)  putative	<input id="checkbox_Tb09.v4.0173" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb09.v4.0173">
Tb927.6.2710	hypothetical protein  conserved	<input id="checkbox_Tb927.6.2710" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.6.2710">
Tb927.11.9295	hypothetical protein	<input id="checkbox_Tb927.11.9295" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.9295">
Tb927.11.12000	hypothetical protein  conserved	<input id="checkbox_Tb927.11.12000" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.12000">
Tb927.9.730	hypothetical protein  conserved	<input id="checkbox_Tb927.9.730" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.730">
Tb927.11.20380	variant surface glycoprotein (VSG  pseudogene)  putative	<input id="checkbox_Tb927.11.20380" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.20380">
Tb927.11.11920	molybdenum cofactor biosynthesis protein  putative	<input id="checkbox_Tb927.11.11920" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.11920">
Tb927.11.18150	variant surface glycoprotein (VSG)  frameshifted and degenerate	<input id="checkbox_Tb927.11.18150" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.18150">
Tb927.11.20540	variant surface glycoprotein (VSG  pseudogene)  putative	<input id="checkbox_Tb927.11.20540" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.20540">
Tb927.7.140	variant surface glycoprotein  degenerate	<input id="checkbox_Tb927.7.140" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.140">
